Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Brew_ID,City,State
Solis,2667,0.075,85,4,American IPA,16,4,San Diego,CA
Jucundus,2666,0.06,24,4,Wheat Ale,16,4,San Diego,CA
Habitus,2664,0.08,100,4,American Double / Imperial IPA,16,4,San Diego,CA
Grazias,2663,0.063,30,4,Cream Ale,16,4,San Diego,CA
Claritas,2662,0.058,28,4,Kölsch,16,4,San Diego,CA
Park,2661,0.047,19,5,American Pale Wheat Ale,12,5,San Francisco,CA
Westfalia,2660,0.056,16,5,American Amber / Red Ale,12,5,San Francisco,CA
KSA,2659,0.046,17,5,Kölsch,12,5,San Francisco,CA
Villager,2658,0.063,42,5,American IPA,12,5,San Francisco,CA
Blackbeard,2657,0.093,NA,6,American Double / Imperial Stout,12,6,Charleston,SC
Rye Knot,2656,0.062,NA,6,American Brown Ale,12,6,Charleston,SC
Dead Arm,2655,0.06,NA,6,American Pale Ale (APA),12,6,Charleston,SC
32°/50° Kölsch,2654,0.048,NA,6,Kölsch,16,6,Charleston,SC
HopArt,2653,0.077,NA,6,American IPA,16,6,Charleston,SC
Boy King,2652,0.097,NA,6,American Double / Imperial IPA,16,6,Charleston,SC
Denver Pale Ale (Artist Series No. 1),2650,0.05,NA,7,American Pale Ale (APA),12,7,Denver,CO
Hibernation Ale,2649,0.087,NA,7,Old Ale,12,7,Denver,CO
Whitewater,2648,0.061,NA,7,American Pale Wheat Ale,12,7,Denver,CO
Rumble,2647,0.071,NA,7,American IPA,12,7,Denver,CO
Orabelle,2646,0.083,NA,7,Tripel,12,7,Denver,CO
Lasso,2645,0.05,NA,7,American IPA,12,7,Denver,CO
Yeti  Imperial Stout,2644,0.095,75,7,Russian Imperial Stout,12,7,Denver,CO
Colette,2643,0.073,NA,7,Saison / Farmhouse Ale,12,7,Denver,CO
Titan IPA,2642,0.071,NA,7,American IPA,12,7,Denver,CO
Peck's Porter,2640,0.065,35,8,American Porter,16,8,Bridgman,MI
Reactor,2448,0.07,NA,8,American IPA,16,8,Bridgman,MI
Mr. Orange,2447,0.057,NA,8,Witbier,16,8,Bridgman,MI
Dark Star,2639,0.08,54,9,American Stout,16,9,Holland,MI
Ryecoe,2469,0.062,NA,9,American IPA,16,9,Holland,MI
G. B. Russo’s Italian Pistachio Pale Ale,2638,0.052,NA,10,American Pale Ale (APA),16,10,Grand Rapids,MI
Belfort,2637,0.067,NA,11,Saison / Farmhouse Ale,16,11,Grand Rapids,MI
